m49,alpha3,name,region,income_group,population,population_year,completeness,staleness,priority
454,MWI,Malawi,Sub-Saharan Africa ,Low income,22216120,2025,45.43,47.46,60.08
458,MYS,Malaysia,East Asia & Pacific,Upper middle income,35977838,2025,59.2,43.24,56.72
462,MDV,Maldives,South Asia,Upper middle income,529676,2025,40.72,55.8,53.13
466,MLI,Mali,Sub-Saharan Africa ,Low income,25198821,2025,47.46,50.41,60.81
470,MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,579704,2025,63.99,41.59,42.45
584,MHL,Marshall Islands,East Asia & Pacific,Upper middle income,36282,2025,37.1,63.16,54.22
478,MRT,Mauritania,Sub-Saharan Africa ,Lower middle income,5315065,2025,38.99,57.37,58.6
480,MUS,Mauritius,Sub-Saharan Africa ,Upper middle income,1243741,2025,58.62,42.61,45.19
484,MEX,Mexico,Latin America & Caribbean ,Upper middle income,131946900,2025,71.01,33.07,53.75
583,FSM,"Micronesia, Federated States of",East Asia & Pacific,Upper middle income,113683,2025,28.48,70.29,59.81
498,MDA,"Moldova, Republic of",Europe & Central Asia,Upper middle income,2360527,2025,65.07,36.45,42.78
492,MCO,Monaco,Europe & Central Asia,High income,38341,2025,31.3,64.61,56.28
496,MNG,Mongolia,East Asia & Pacific,Upper middle income,3568978,2025,65.0,38.74,44.85
499,MNE,Montenegro,Europe & Central Asia,Upper middle income,623129,2025,57.9,43.12,44.61
504,MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,38430770,2025,51.01,51.57,62.1
508,MOZ,Mozambique,Sub-Saharan Africa ,Low income,35631653,2025,52.25,48.67,60.26
104,MMR,Myanmar,East Asia & Pacific,Lower middle income,54850648,2025,48.7,52.37,64.42
516,NAM,Namibia,Sub-Saharan Africa ,Lower middle income,3092816,2025,48.55,52.54,53.47
520,NRU,Nauru,East Asia & Pacific,High income,12025,2025,46.38,55.72,48.99
524,NPL,Nepal,South Asia,Lower middle income,29618118,2025,46.67,53.77,62.81
528,NLD,Netherlands,Europe & Central Asia,High income,18087633,2025,63.33,41.23,52.28
554,NZL,New Zealand,East Asia & Pacific,High income,5324700,2025,55.29,49.69,51.94
558,NIC,Nicaragua,Latin America & Caribbean ,Lower middle income,7007502,2025,36.16,64.49,63.46
562,NER,Niger,Sub-Saharan Africa ,Low income,27917831,2025,45.22,54.35,63.17
566,NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,237527782,2025,59.35,41.98,60.31
807,MKD,North Macedonia,Europe & Central Asia,Upper middle income,1820909,2025,52.03,45.58,48.61
578,NOR,Norway,Europe & Central Asia,High income,5610870,2025,66.59,39.18,45.95
512,OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,5494691,2025,53.12,46.86,51.8
586,PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,255219554,2025,49.64,43.55,63.39
585,PLW,Palau,East Asia & Pacific,High income,17663,2025,39.28,60.39,52.5
591,PAN,Panama,Latin America & Caribbean ,High income,4571189,2025,56.96,44.56,49.31
598,PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,10762817,2025,44.2,57.85,60.8
600,PRY,Paraguay,Latin America & Caribbean ,Upper middle income,7013078,2025,58.33,42.12,50.2
604,PER,Peru,Latin America & Caribbean ,Upper middle income,34576665,2025,65.65,38.91,53.28
608,PHL,Philippines,East Asia & Pacific,Upper middle income,116786962,2025,62.68,41.42,58.45
616,POL,Poland,Europe & Central Asia,High income,36435861,2025,68.77,36.57,52.1
620,PRT,Portugal,Europe & Central Asia,High income,10804871,2025,69.64,36.64,47.22
634,QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,2972215,2025,48.99,53.55,53.51
642,ROU,Romania,Europe & Central Asia,High income,19020271,2025,68.26,37.25,50.07
643,RUS,Russian Federation,Europe & Central Asia,High income,143513328,2025,65.51,38.67,57.3
646,RWA,Rwanda,Sub-Saharan Africa ,Low income,14569341,2025,54.64,45.7,55.5
659,KNA,Saint Kitts and Nevis,Latin America & Caribbean ,High income,46922,2025,34.35,66.79,56.49
662,LCA,Saint Lucia,Latin America & Caribbean ,Upper middle income,180149,2025,42.17,59.78,53.13
670,VCT,Saint Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,99924,2025,33.91,66.42,56.89
882,WSM,Samoa,East Asia & Pacific,Upper middle income,219306,2025,46.16,55.7,50.81
674,SMR,San Marino,Europe & Central Asia,High income,34109,2025,33.99,67.15,56.29
678,STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,240254,2025,41.88,57.13,52.48
682,SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,36973555,2025,52.1,49.27,60.82
686,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,18931966,2025,51.67,44.93,56.8
688,SRB,Serbia,Europe & Central Asia,Upper middle income,6549143,2025,69.06,34.39,44.6
690,SYC,Seychelles,Sub-Saharan Africa ,High income,122730,2025,44.2,54.35,50.51
694,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,8819794,2025,39.57,57.97,61.06
702,SGP,Singapore,East Asia & Pacific,High income,6111175,2025,55.29,50.05,53.11
703,SVK,Slovakia,Europe & Central Asia,High income,5413813,2025,59.42,44.61,49.23
705,SVN,Slovenia,Europe & Central Asia,High income,2130986,2025,68.33,37.85,42.14
90,SLB,Solomon Islands,East Asia & Pacific,Lower middle income,838645,2025,39.35,62.92,56.7
706,SOM,Somalia,Sub-Saharan Africa ,Low income,19654739,2025,42.25,57.25,63.68
710,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,64747319,2025,56.88,44.47,59.92
728,SSD,South Sudan,Sub-Saharan Africa ,Low income,12188788,2025,36.81,65.22,66.37
724,ESP,Spain,Europe & Central Asia,High income,49355143,2025,65.72,38.19,54.68
144,LKA,Sri Lanka,South Asia,Upper middle income,21756000,2025,51.74,49.95,59.17
729,SDN,Sudan,Sub-Saharan Africa ,Low income,51662147,2025,38.33,62.56,70.27
740,SUR,Suriname,Latin America & Caribbean ,Upper middle income,639850,2025,44.42,54.4,52.03
752,SWE,Sweden,Europe & Central Asia,High income,10596620,2025,63.91,41.57,50.07
756,CHE,Switzerland,Europe & Central Asia,High income,9092436,2025,64.28,40.39,48.94
760,SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income,25620427,2025,39.13,60.63,66.58
762,TJK,Tajikistan,Europe & Central Asia,Lower middle income,10786734,2025,49.2,53.14,58.0
834,TZA,"Tanzania, United Republic of",Sub-Saharan Africa ,Lower middle income,70545865,2025,48.77,47.46,63.31
764,THA,Thailand,East Asia & Pacific,Upper middle income,71619863,2025,58.84,39.59,58.14
626,TLS,Timor-Leste,East Asia & Pacific,Lower middle income,1418517,2025,44.71,61.23,55.71
768,TGO,Togo,Sub-Saharan Africa ,Lower middle income,8591626,2025,54.2,47.32,53.57
776,TON,Tonga,East Asia & Pacific,Upper middle income,103742,2025,49.49,50.51,47.53
780,TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,1367764,2025,54.71,47.9,48.33
788,TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,12348573,2025,52.9,51.55,57.67
795,TKM,Turkmenistan,Europe & Central Asia,Upper middle income,7618847,2025,39.2,61.74,62.16
798,TUV,Tuvalu,East Asia & Pacific,Upper middle income,9492,2025,37.9,64.4,54.04
792,TUR,Türkiye,Europe & Central Asia,Upper middle income,85878556,2025,64.71,39.78,56.95
800,UGA,Uganda,Sub-Saharan Africa ,Low income,51384894,2025,51.52,45.77,60.99
804,UKR,Ukraine,Europe & Central Asia,Upper middle income,38980376,2025,52.83,50.24,61.29
784,ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,11513149,2025,50.72,50.6,57.25
826,GBR,United Kingdom,Europe & Central Asia,High income,69487000,2025,58.26,43.04,59.29
840,USA,United States,North America,High income,341784857,2025,65.22,37.97,57.75
858,URY,Uruguay,Latin America & Caribbean ,High income,3384688,2025,62.03,41.55,46.47
860,UZB,Uzbekistan,Europe & Central Asia,Lower middle income,37053428,2025,59.13,46.59,58.23
548,VUT,Vanuatu,East Asia & Pacific,Lower middle income,335169,2025,43.41,56.81,52.19
862,VEN,"Venezuela, Bolivarian Republic of",Latin America & Caribbean ,Lower middle income,28516896,2025,37.17,64.01,68.67
704,VNM,Viet Nam,East Asia & Pacific,Upper middle income,101598527,2025,57.03,44.9,60.87
887,YEM,Yemen,"Middle East, North Africa, Afghanistan & Pakistan",Low income,41773878,2025,37.1,61.59,69.51
894,ZMB,Zambia,Sub-Saharan Africa ,Lower middle income,21913874,2025,55.72,42.99,55.84
716,ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,16950795,2025,51.16,47.97,57.47
