excluded_series,description,low_minus_high_income_pp
SH_ALC_CONSPT,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),7.17
SH_BLD_ECOLI,"Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested (%)",7.09
SH_DTH_NCOM,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)",7.15
SH_DYN_IMRT,"Infant mortality rate (deaths per 1,000 live births)",7.15
SH_DYN_NMRT,"Neonatal mortality rate (deaths per 1,000 live births)",7.15
SH_FPL_INFM,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)",7.16
SH_FPL_MTMM,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),7.16
SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",7.01
SH_HAP_HBSAG_26,"Prevalence of hepatitis B surface antigen (HBsAg), 2026 methodology (%)",7.14
SH_HIV_INCD,"Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)",7.18
SH_HLF_EMED,Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis (%),7.14
SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",7.16
SH_LGR_ACSRHE,"Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education (%)",7.12
SH_MDD_CHLD,Prevalence of minimum dietary diversity among children aged 6-23 months (%),7.19
SH_MED_DEN,"Health worker density, by type of occupation (per 10,000 population)",7.14
SH_OOP_XPD_EARNNET40,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household and characteristics of the head of household (%)",7.12
SH_PRV_SMOK,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)",7.13
SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",7.14
SH_STA_ANEM,Proportion of women aged 15-49 years with anaemia (%),7.15
SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),6.97
SH_STA_FGMS,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age (%)",7.15
SH_STA_MALR,"Malaria incidence per 1,000 population at risk (per 1,000 population)",7.48
SH_STA_MORT,Maternal mortality ratio,7.15
SH_STA_POISN,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)",7.15
SH_STA_SCIDE,"Suicide mortality rate, by sex (deaths per 100,000 population)",7.15
SH_STA_STNT,Proportion of children moderately or severely stunted (%),7.35
SH_STA_TRAF,"Death rate due to road traffic injuries, by sex (per 100,000 population)",7.14
SH_STA_WASHARI,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene from diarrhoea, intestinal nematode infections, malnutrition and acute respiratory infections (deaths per 100,000 population)",7.14
SH_SUD_ALCOL,"Alcohol use disorders, 12-month prevalence (%)",7.14
SH_TBS_INCD,"Tuberculosis incidence (per 100,000 population)",7.15
SH_TRP_INTVN,Number of people requiring interventions against neglected tropical diseases (number),7.15
SI_AGR_SSFP,"Average income of small-scale food producers, PPP (constant 2017 international $)",7.28
SI_COV_BENFTS,"[ILO] Proportion of population covered by at least one social protection benefit, by sex (%)",7.11
SI_DST_FISP,"Redistributive impact of fiscal policy, Gini index (%)",6.97
SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),7.07
SI_POV_50MI,Proportion of people living below 50 percent of median income (%),6.97
SI_POV_DAY1,Proportion of population below international poverty line (%),6.97
SI_POV_NAHC,Proportion of population living below the national poverty line (%),7.07
SI_RMT_COST,Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted (%),7.41
SL_CPA_YEMP,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy",7.03
SL_DOM_TSPD,"Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)",7.02
SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),7.11
SL_EMP_FTLINJUR,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",6.96
SL_EMP_GTOTL,Labour share of GDP (%),6.97
SL_EMP_PCAP,Annual growth rate of real GDP per employed person (%),7.19
SL_EMP_RCOST_MO,Migrant recruitment costs (number of months of earnings),7.14
SL_ISV_IFEM,"Proportion of informal employment, by sector and sex - 13th ICLS (%)",7.02
SL_LBR_NTLCPL,Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation,7.15
SL_TLF_CHLDEA,"Proportion of children engaged in economic activity, by sex and age  (%)",7.18
SL_TLF_MANF,Manufacturing employment as a proportion of total employment - 13th ICLS (%),6.9
SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",6.94
SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",6.9
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),7.15
SM_POP_REFG_OR,"Number of refugees per 100,000 population, by country of origin (per 100,000 population)",7.14
SN_ITK_DEFC,Prevalence of undernourishment (%),7.19
SN_STA_OVWGT,Proportion of children moderately or severely overweight (%),7.3
SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",7.14
SP_DISP_RESOL,Proportion of the population who have experienced a dispute in the past two years who accessed a formal or informal dispute resolution mechanism (%),7.15
SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",7.0
SP_DYN_MRBF18,Proportion of women aged 20-24 years who were married or in a union before age 18 (%),7.15
SP_LGL_LNDAGSEC,"Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex (%)",7.24
SP_LGL_LNDSTR,"Proportion of people with secure tenure rights to land out of total adult population, by sex (%)",7.08
SP_PSR_OSATIS_HLTH,Proportion of population who say that overall they are satisfied with the quality of healthcare services (%),7.12
SP_TRN_PUBL,Proportion of population that has convenient access to public transport (%),7.11
ST_EEV_STDACCT,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),6.92
ST_EMP_TRSMN,Employed persons in the tourism industries (number),6.96
ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),6.99
TM_TAX_DMFN,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",7.14
TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",7.17
TM_TRF_ZERO,Proportion of tariff lines applied to imports with zero-tariff (%),7.15
TX_EXP_GBMRCH,Developing countries’ and least developed countries’ share of global merchandise exports (%),7.16
VC_ARM_SZTRACE,"Proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments",7.1
VC_DSR_AFFCT,Number of people affected by disaster (number),7.1
