m49,alpha3,name,region,income_group,population,population_year,statistical_performance,statistical_performance_year,completeness,staleness,priority
600,PRY,Paraguay,Latin America & Caribbean,Upper middle income,7013078,2025,74.208,2024,45.16,57.31,60.66
604,PER,Peru,Latin America & Caribbean,Upper middle income,34576665,2025,81.981,2024,51.81,51.69,63.07
608,PHL,Philippines,East Asia & Pacific,Upper middle income,116786962,2025,83.835,2024,48.02,54.1,68.41
616,POL,Poland,Europe & Central Asia,High income,36435861,2025,91.106,2024,50.49,53.59,64.49
620,PRT,Portugal,Europe & Central Asia,High income,10804871,2025,90.708,2024,49.68,56.3,60.95
634,QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,2972215,2025,68.105,2024,37.68,65.54,62.39
642,ROU,Romania,Europe & Central Asia,High income,19020271,2025,91.045,2024,48.1,56.77,63.8
643,RUS,Russian Federation,Europe & Central Asia,High income,143513328,2025,81.501,2024,45.21,58.81,71.28
646,RWA,Rwanda,Sub-Saharan Africa,Low income,14569341,2025,72.602,2024,42.78,58.25,64.71
659,KNA,Saint Kitts and Nevis,Latin America & Caribbean,High income,46922,2025,42.659,2024,28.29,72.82,61.98
662,LCA,Saint Lucia,Latin America & Caribbean,Upper middle income,180149,2025,64.175,2024,33.43,69.54,60.58
670,VCT,Saint Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,99924,2025,51.959,2024,31.52,69.85,60.55
882,WSM,Samoa,East Asia & Pacific,Upper middle income,219306,2025,62.83,2024,34.4,68.04,59.92
674,SMR,San Marino,Europe & Central Asia,High income,34109,2025,,,21.44,80.23,65.86
678,STP,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,240254,2025,52.97,2024,32.41,68.05,60.52
682,SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,36973555,2025,83.288,2024,40.46,60.89,69.65
686,SEN,Senegal,Sub-Saharan Africa,Lower middle income,18931966,2025,81.414,2024,42.98,56.47,64.87
688,SRB,Serbia,Europe & Central Asia,Upper middle income,6549143,2025,80.489,2024,48.75,54.24,58.48
690,SYC,Seychelles,Sub-Saharan Africa,High income,122730,2025,64.534,2024,34.63,66.81,59.12
694,SLE,Sierra Leone,Sub-Saharan Africa,Low income,8819794,2025,59.942,2024,34.67,63.65,66.13
702,SGP,Singapore,East Asia & Pacific,High income,6111175,2025,88.319,2024,39.35,64.14,63.88
703,SVK,Slovakia,Europe & Central Asia,High income,5413813,2025,83.251,2024,45.44,59.32,59.73
705,SVN,Slovenia,Europe & Central Asia,High income,2130986,2025,91.087,2024,48.11,57.18,55.82
90,SLB,Solomon Islands,East Asia & Pacific,Lower middle income,838645,2025,51.032,2024,30.43,70.96,63.6
706,SOM,Somalia,Sub-Saharan Africa,Low income,19654739,2025,51.711,2024,32.73,68.09,71.71
710,ZAF,South Africa,Sub-Saharan Africa,Upper middle income,64747319,2025,81.288,2024,43.75,58.88,70.11
728,SSD,South Sudan,Sub-Saharan Africa,Low income,12188788,2025,27.123,2024,28.44,71.27,72.44
724,ESP,Spain,Europe & Central Asia,High income,49355143,2025,91.823,2024,49.06,55.63,66.81
144,LKA,Sri Lanka,South Asia,Upper middle income,21756000,2025,74.905,2024,40.48,61.93,68.03
729,SDN,Sudan,Sub-Saharan Africa,Low income,51662147,2025,42.096,2024,28.97,73.54,78.31
740,SUR,Suriname,Latin America & Caribbean,Upper middle income,639850,2025,58.625,2024,36.25,65.97,59.98
752,SWE,Sweden,Europe & Central Asia,High income,10596620,2025,92.661,2024,47.62,57.01,61.4
756,CHE,Switzerland,Europe & Central Asia,High income,9092436,2025,88.713,2024,46.89,57.6,61.17
760,SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income,25620427,2025,32.418,2024,30.48,70.9,74.19
762,TJK,Tajikistan,Europe & Central Asia,Lower middle income,10786734,2025,63.869,2024,36.78,65.03,67.12
834,TZA,"Tanzania, United Republic of",Sub-Saharan Africa,Lower middle income,70545865,2025,68.22,2024,41.63,58.96,70.97
764,THA,Thailand,East Asia & Pacific,Upper middle income,71619863,2025,85.039,2024,48.41,55.02,68.01
626,TLS,Timor-Leste,East Asia & Pacific,Lower middle income,1418517,2025,60.517,2024,33.7,69.44,63.19
768,TGO,Togo,Sub-Saharan Africa,Lower middle income,8591626,2025,66.552,2024,40.68,61.89,63.9
776,TON,Tonga,East Asia & Pacific,Upper middle income,103742,2025,63.203,2024,35.84,64.58,57.72
780,TTO,Trinidad and Tobago,Latin America & Caribbean,High income,1367764,2025,59.384,2024,39.89,62.08,58.86
788,TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,12348573,2025,75.458,2024,41.73,61.69,65.87
795,TKM,Turkmenistan,Europe & Central Asia,Upper middle income,7618847,2025,29.654,2024,32.02,68.86,68.3
798,TUV,Tuvalu,East Asia & Pacific,Upper middle income,9492,2025,43.017,2024,26.78,73.99,62.03
792,TUR,Türkiye,Europe & Central Asia,Upper middle income,85878556,2025,79.348,2024,51.32,54.29,67.23
800,UGA,Uganda,Sub-Saharan Africa,Low income,51384894,2025,68.7,2024,42.48,56.51,68.87
804,UKR,Ukraine,Europe & Central Asia,Upper middle income,38980376,2025,75.997,2024,39.57,63.49,71.1
784,ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,11513149,2025,79.15,2024,37.4,66.39,67.97
826,GBR,United Kingdom,Europe & Central Asia,High income,69487000,2025,88.377,2024,41.81,61.57,71.74
840,USA,United States,North America,High income,341784857,2025,90.059,2024,43.24,59.75,72.72
858,URY,Uruguay,Latin America & Caribbean,High income,3384688,2025,80.147,2024,44.83,56.99,58.03
860,UZB,Uzbekistan,Europe & Central Asia,Lower middle income,37053428,2025,81.491,2024,45.05,60.36,68.43
548,VUT,Vanuatu,East Asia & Pacific,Lower middle income,335169,2025,53.447,2024,33.13,67.49,60.36
862,VEN,"Venezuela, Bolivarian Republic of",Latin America & Caribbean,Lower middle income,28516896,2025,39.458,2024,31.1,69.86,74.09
704,VNM,Viet Nam,East Asia & Pacific,Upper middle income,101598527,2025,67.238,2024,42.87,60.03,71.56
887,YEM,Yemen,"Middle East, North Africa, Afghanistan & Pakistan",Low income,41773878,2025,37.436,2024,30.32,70.16,76.06
894,ZMB,Zambia,Sub-Saharan Africa,Lower middle income,21913874,2025,64.168,2024,42.35,55.7,65.49
716,ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,16950795,2025,66.802,2024,41.97,58.22,65.22
